Category,Platform,Description,Competitors,Maturity,Clients/Uptake,URL,Valuation,Market Segment,Target Audience,Solution Scale
Development Frameworks,AGiXT,"An advanced AI automation platform that enhances AI instruction management and task execution across various providers, featuring adaptive memory and a versatile plugin system.","AutoGen, Semantic Kernel",Emerging; gaining traction among developers,Adoption primarily among developers and small enterprises exploring AI automation solutions.,AGiXT,Not publicly disclosed,General AI Tools,General AI Users,Enterprise
Development Frameworks,AutoGen,"An open-source framework by Microsoft Research's AI Frontiers Lab, facilitating the development of AI applications with agentic capabilities.","AGiXT, Semantic Kernel",Early-stage; part of Microsoft's research initiatives,Utilized within Microsoft's research community; broader adoption pending further development.,AutoGen,Not publicly disclosed,Academic/Corporate Research,"Researchers, Academics",Research/Academic
Development Frameworks,Semantic Kernel,"A framework by Microsoft that integrates AI models into applications, enabling complex task automation and decision-making processes.","AGiXT, AutoGen",Early-stage; integrated into Microsoft's AI offerings,Adoption within Microsoft's ecosystem; external uptake in progress.,Semantic Kernel,Not publicly disclosed,General AI Tools,General AI Users,General/Other
Development Frameworks,PhiData,"An agentic framework designed for generative AI applications, focusing on dynamic interaction and autonomy.","CrewAI, AGiXT",Emerging; niche applications in generative AI,Limited adoption; primarily in experimental generative AI projects.,PhiData,Not publicly disclosed,General AI Tools,General AI Users,General/Other
Development Frameworks,CrewAI,"A framework that facilitates collaborative multi-agent systems, enhancing complex task execution with custom tools.","PhiData, AGiXT",Emerging; specialized in collaborative AI systems,Adoption in collaborative AI research and development projects.,CrewAI,Not publicly disclosed,Team Collaboration,"Teams, Project Managers",General/Other
Services and Platforms,Adept,"Develops AI that automates software processes, offering a full-stack approach to agent development with proprietary training data and multimodal models.","VisionAgent by Landing AI, Agentforce",Growing; recognized in the AI automation sector,Serving various industries seeking software process automation; client details not widely publicized.,Adept,Not publicly disclosed,General AI Tools,General AI Users,General/Other
Other,VisionAgent by Landing AI,A visual AI pilot designed to automate and enhance visual data processing tasks.,"Adept, Agentforce",Growing; gaining recognition in visual data processing,Adoption in sectors requiring visual data analysis; specific client information not disclosed.,Landing AI,Not publicly disclosed,General AI Tools,General AI Users,General/Other
Other,Salesforce's Agentforce,"Provides AI-powered conversational agents for CRM, marketing, and data management, aiming to revolutionize customer interactions.","ServiceNow's Xanadu, Oracle's AI Agents",Established; integrated into Salesforce's CRM solutions,"Widely adopted by Salesforce's customer base, enhancing CRM and marketing operations.",Salesforce,Not publicly disclosed,General AI Tools,General AI Users,General/Other
Other,ServiceNow's Xanadu,"Automates customer service and IT workflows, enhancing efficiency through agentic AI capabilities.","Agentforce, Oracle's AI Agents",Established; part of ServiceNow's workflow automation suite,Adopted by enterprises utilizing ServiceNow for IT service management and customer service automation.,ServiceNow,Not publicly disclosed,General AI Tools,General AI Users,Enterprise
Other,Oracle's AI Agents for Cloud Fusion Applications,"Over 50 role-based AI agents designed for enterprise resource planning, human capital management, and more.","Agentforce, Xanadu",Established; integrated into Oracle's Cloud Fusion Applications,Implemented by Oracle's enterprise clients across various sectors for ERP and HCM solutions.,Oracle,Not publicly disclosed,General AI Tools,General AI Users,Enterprise
Bespoke Solutions,NinjaTech AI,"Develops AI assistant platforms with agentic capabilities, including specialized agents for tasks like coding, advising, and image generation.","Clerkie, Coris",Growing; recognized among AI startups,Serving clients in tech and creative industries; specific client details not widely publicized.,Not publicly disclosed,$4.73 billion (aimresearch.co),General AI Tools,General AI Users,General/Other
